Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,City,Region,Category,Sub_Category,Product_ID,Product_Name,Sales_Person,Quantity,Unit_Price,Discount,Sales,Profit,Shipping_Cost,Payment_Mode,Return_Status,Customer_Rating,Year,Month,Quarter
ORD-10001,6/28/2022,7/3/2022,Second Class,CUST-1108,Rohit Gupta,Consumer,Delhi,North,Office Supplies,Paper,PROD-674,Paper Model B,Rohit Gupta,14,207.32,0,2902.48,335.5,156.55,Credit Card,Yes,2,2022,June,Q2
ORD-10002,11/15/2022,11/17/2022,Same Day,CUST-3472,Karan Mehta,Consumer,Nagpur,West,Office Supplies,Pens,PROD-370,Pens Model Z,Karan Mehta,11,555.94,0.15,5198.04,410.72,255.77,Net Banking,No,4,2022,November,Q4
ORD-10003,1/29/2023,2/4/2023,First Class,CUST-4503,Divya Rao,Home Office,Bhopal,Central,Clothing,Shirts,PROD-338,Shirts Model Z,Divya Rao,3,276.83,0.05,788.97,222.43,295.71,UPI,No,4,2023,January,Q1
ORD-10004,5/27/2022,6/1/2022,First Class,CUST-4790,Karan Mehta,Corporate,Guwahati,East,Office Supplies,Paper,PROD-755,Paper Model Y,Karan Mehta,6,2693.99,0.05,15355.74,1520.54,120.04,Debit Card,No,3,2022,May,Q2
ORD-10005,10/7/2023,10/9/2023,First Class,CUST-2010,Sneha Nair,Corporate,Chandigarh,North,Electronics,Tablets,PROD-862,Tablets Model X,Sneha Nair,16,2008.38,0.25,24100.56,4522.6,86.82,Credit Card,No,5,2023,October,Q4
ORD-10006,7/6/2022,7/13/2022,Second Class,CUST-2729,Anita Joshi,Consumer,Nagpur,West,Clothing,Jackets,PROD-710,Jackets Model A,Anita Joshi,2,4312.46,0.05,8193.67,1952.01,239.7,UPI,Yes,4,2022,July,Q3
ORD-10007,7/1/2023,7/8/2023,Standard Class,CUST-3957,Rohit Gupta,Home Office,Jabalpur,Central,Sports,Footwear,PROD-996,Footwear Model Y,Rohit Gupta,11,602.18,0.15,5630.38,548.67,10.94,Credit Card,No,5,2023,July,Q3
ORD-10008,11/27/2022,12/2/2022,Second Class,CUST-4805,Divya Rao,Home Office,Mysuru,South,Electronics,Tablets,PROD-471,Tablets Model Z,Divya Rao,17,4596.54,0.2,62512.94,9204.83,15.65,Debit Card,No,2,2022,November,Q4
ORD-10009,9/15/2022,9/17/2022,Same Day,CUST-2733,Rohit Gupta,Consumer,Chandigarh,North,Sports,Equipment,PROD-316,Equipment Model X,Rohit Gupta,16,4736.9,0.05,72000.88,9325.34,263.01,Credit Card,No,3,2022,September,Q3
ORD-10010,11/24/2023,11/25/2023,Second Class,CUST-3584,Priya Sharma,Consumer,Ahmedabad,West,Clothing,Shoes,PROD-160,Shoes Model B,Priya Sharma,19,2791.91,0.2,42437.03,4925.46,30.59,Debit Card,No,1,2023,November,Q4
